"faa","name","tz","dst","tzone"
"04G","Lansdowne Airport",-5,"A","America/New_York"
"06A","Moton Field Municipal Airport",-6,"A","America/Chicago"
"06C","Schaumburg Regional",-6,"A","America/Chicago"
"06N","Randall Airport",-5,"A","America/New_York"
"09J","Jekyll Island Airport",-5,"A","America/New_York"
"0A9","Elizabethton Municipal Airport",-5,"A","America/New_York"
"0G6","Williams County Airport",-5,"A","America/New_York"
"0G7","Finger Lakes Regional Airport",-5,"A","America/New_York"
"0P2","Shoestring Aviation Airfield",-5,"U","America/New_York"
"0S9","Jefferson County Intl",-8,"A","America/Los_Angeles"
"0W3","Harford County Airport",-5,"A","America/New_York"
"10C","Galt Field Airport",-6,"U","America/Chicago"
"17G","Port Bucyrus-Crawford County Airport",-5,"A","America/New_York"
"19A","Jackson County Airport",-5,"U","America/New_York"
"1A3","Martin Campbell Field Airport",-5,"A","America/New_York"
"1B9","Mansfield Municipal",-5,"A","America/New_York"
"1C9","Frazier Lake Airpark",-8,"A","America/Vancouver"
"1CS","Clow International Airport",-6,"U","America/Chicago"
"1G3","Kent State Airport",-5,"A","America/New_York"
"1G4","Grand Canyon West Airport",-7,"A","America/Phoenix"
"1H2","Effingham Memorial Airport",-6,"A","America/Chicago"
"1OH","Fortman Airport",-5,"U","America/New_York"
"1RL","Point Roberts Airpark",-8,"A","America/Los_Angeles"
"23M","Clarke CO",-6,"A","America/Chicago"
"24C","Lowell City Airport",-5,"A","America/New_York"
"24J","Suwannee County Airport",-5,"A","America/New_York"
"25D","Forest Lake Airport",-6,"A","America/Chicago"
"29D","Grove City Airport",-5,"A","America/New_York"
"2A0","Mark Anton Airport",-5,"A","America/New_York"
"2B2","Plum Island Airport",-5,"A","America/New_York"
"2G2","Jefferson County Airpark",-5,"A","America/New_York"
"2G9","Somerset County Airport",-5,"A","America/New_York"
"2H0","Shelby County Airport",-6,"A","America/Chicago"
"2J9","Quincy Municipal Airport",-5,"A","America/New_York"
"369","Atmautluak Airport",-9,"A","America/Anchorage"
"36U","Heber City Municipal Airport",-7,"A","America/Denver"
"38W","Lynden Airport",-8,"A","America/Los_Angeles"
"3D2","Ephraim-Gibraltar Airport",-6,"A","America/Chicago"
"3G3","Wadsworth Municipal",-5,"A","America/New_York"
"3G4","Ashland County Airport",-5,"A","America/New_York"
"3J1","Ridgeland Airport",-5,"A","America/New_York"
"3W2","Put-in-Bay Airport",-5,"A","America/New_York"
"40J","Perry-Foley Airport",-5,"A","America/New_York"
"41N","Braceville Airport",-5,"A","America/New_York"
"47A","Cherokee County Airport",-5,"A","America/New_York"
"49A","Gilmer County Airport",-5,"A","America/New_York"
"49X","Chemehuevi Valley",-8,"A","America/Los_Angeles"
"4A4","Polk County Airport - Cornelius Moore Field",-5,"A","America/New_York"
"4A7","Clayton County Tara Field",-5,"A","America/New_York"
"4A9","Isbell Field Airport",-6,"A","America/Chicago"
"4B8","Robertson Field",-5,"A","America/New_York"
"4G0","Pittsburgh-Monroeville Airport",-5,"A","America/New_York"
"4G2","Hamburg Inc Airport",-5,"A","America/New_York"
"4G4","Youngstown Elser Metro Airport",-5,"A","America/New_York"
"4I7","Putnam County Airport",-5,"U","America/New_York"
"4U9","Dell Flight Strip",-7,"A","America/Denver"
"52A","Madison GA Municipal Airport",-5,"A","America/New_York"
"54J","DeFuniak Springs Airport",-6,"A","America/Chicago"
"55J","Fernandina Beach Municipal Airport",-5,"A","America/New_York"
"55S","Packwood",-8,"A","America/Los_Angeles"
"57C","East Troy Municipal Airport",-6,"A","America/Chicago"
"5B2","Saratoga County Airport",-5,"A","America/New_York"
"60J","Ocean Isle Beach Airport",-5,"U","America/New_York"
"6A2","Griffin-Spalding County Airport",-5,"A","America/New_York"
"6J4","Saluda County",-5,"A","America/New_York"
"6K8","Tok Junction Airport",-9,"A","America/Anchorage"
"6S0","Big Timber Airport",-7,"A","America/Denver"
"6S2","Florence",-8,"A","America/Los_Angeles"
"6Y8","Welke Airport",-5,"A","America/New_York"
"70J","Cairo-Grady County Airport",-5,"A","America/New_York"
"70N","Spring Hill Airport",-5,"A","America/New_York"
"7A4","Foster Field",-6,"A","America/Chicago"
"7D9","Germack Airport",-5,"A","America/New_York"
"7N7","Spitfire Aerodrome",-5,"A","America/New_York"
"8M8","Garland Airport",-5,"A","America/New_York"
"93C","Richland Airport",-6,"A","America/Chicago"
"99N","Bamberg County Airport",-5,"A","America/New_York"
"9A1","Covington Municipal Airport",-5,"A","America/New_York"
"9A5","Barwick Lafayette Airport",-5,"A","America/New_York"
"9G1","Rock Airport",-5,"A","America/New_York"
"A39","Phoenix Regional Airport",-7,"A","America/Phoenix"
"A50","Colorado Springs East",-7,"A","America/Denver"
"AAF","Apalachicola Regional Airport",-5,"A","America/New_York"
"AAP","Andrau Airport",-6,"A","America/Chicago"
"ABE","Lehigh Valley Intl",-5,"A","America/New_York"
"ABI","Abilene Rgnl",-6,"A","America/Chicago"
"ABL","Ambler Airport",-9,"A","America/Anchorage"
"ABQ","Albuquerque International Sunport",-7,"A","America/Denver"
"ABR","Aberdeen Regional Airport",-6,"A","America/Chicago"
"ABY","Southwest Georgia Regional Airport",-5,"A","America/New_York"
"ACJ","Jimmy Carter Regional",-5,"A","America/New_York"
"ACK","Nantucket Mem",-5,"A","America/New_York"
"ACT","Waco Rgnl",-6,"A","America/Chicago"
"ACV","Arcata",-8,"A","America/Los_Angeles"
"ACY","Atlantic City Intl",-5,"A","America/New_York"
"ADK","Adak Airport",-9,"A","America/Anchorage"
"ADM","Ardmore Muni",-6,"A","America/Chicago"
"ADQ","Kodiak",-9,"A","America/Anchorage"
"ADS","Addison",-6,"A","America/Chicago"
"ADW","Andrews Afb",-5,"A","America/New_York"
"AET","Allakaket Airport",-9,"A","America/Anchorage"
"AEX","Alexandria Intl",-6,"A","America/Chicago"
"AFE","Kake Airport",-9,"A","America/Anchorage"
"AFW","Fort Worth Alliance Airport",-6,"A","America/Chicago"
"AGC","Allegheny County Airport",-5,"A","America/New_York"
"AGN","Angoon Seaplane Base",-9,"A","America/Anchorage"
"AGS","Augusta Rgnl At Bush Fld",-5,"A","America/New_York"
"AHN","Athens Ben Epps Airport",-5,"A","America/New_York"
"AIA","Alliance Municipal Airport",-7,"A","America/Denver"
"AIK","Municipal Airport",-5,"A","America/New_York"
"AIN","Wainwright Airport",-9,"A","America/Anchorage"
"AIZ","Lee C Fine Memorial Airport",-6,"A","America/Chicago"
"AKB","Atka Airport",-9,"A","America/Anchorage"
"AKC","Akron Fulton Intl",-5,"A","America/New_York"
"AKI","Akiak Airport",-9,"A","America/Anchorage"
"AKK","Akhiok Airport",-9,"A","America/Anchorage"
"AKN","King Salmon",-9,"A","America/Anchorage"
"AKP","Anaktuvuk Pass Airport",-9,"A","America/Anchorage"
"ALB","Albany Intl",-5,"A","America/New_York"
"ALI","Alice Intl",-6,"A","America/Chicago"
"ALM","Alamogordo White Sands Regional Airport",-7,"A","America/Denver"
"ALO","Waterloo Regional Airport",-6,"A","America/Chicago"
"ALS","San Luis Valley Regional Airport",-7,"A","America/Denver"
"ALW","Walla Walla Regional Airport",-8,"A","America/Los_Angeles"
"ALX","Alexandria",-5,"A","America/New_York"
"ALZ","Alitak Seaplane Base",-9,"A","America/Anchorage"
"AMA","Rick Husband Amarillo Intl",-6,"A","America/Chicago"
"ANB","Anniston Metro",-6,"A","America/Chicago"
"ANC","Ted Stevens Anchorage Intl",-9,"A","America/Anchorage"
"AND","Anderson Rgnl",-5,"A","America/New_York"
"ANI","Aniak Airport",-9,"A","America/Anchorage"
"ANN","Annette Island",-9,"A","America/Anchorage"
"ANP","Lee Airport",-5,"A","America/New_York"
"ANQ","Tri-State Steuben County Airport",-5,"A","America/New_York"
"ANV","Anvik Airport",-9,"A","America/Anchorage"
"AOH","Lima Allen County Airport",-5,"A","America/New_York"
"AOO","Altoona Blair Co",-5,"A","America/New_York"
"AOS","Amook Bay Seaplane Base",-9,"A","America/Anchorage"
"APA","Centennial",-7,"A","America/Denver"
"APC","Napa County Airport",-8,"A","America/Los_Angeles"
"APF","Naples Muni",-5,"A","America/New_York"
"APG","Phillips Aaf",-5,"A","America/New_York"
"APN","Alpena County Regional Airport",-5,"A","America/New_York"
"AQC","Klawock Seaplane Base",-9,"A","America/Anchorage"
"ARA","Acadiana Rgnl",-6,"A","America/Chicago"
"ARB","Ann Arbor Municipal Airport",-5,"A","America/New_York"
"ARC","Arctic Village Airport",-9,"A","America/Anchorage"
"ART","Watertown Intl",-5,"A","America/New_York"
"ARV","Lakeland",-6,"A","America/Chicago"
"ASE","Aspen Pitkin County Sardy Field",-7,"A","America/Denver"
"ASH","Boire Field Airport",-5,"A","America/New_York"
"AST","Astoria Regional Airport",-8,"A","America/Los_Angeles"
"ATK","Atqasuk Edward Burnell Sr Memorial Airport",-9,"A","America/Anchorage"
"ATL","Hartsfield Jackson Atlanta Intl",-5,"A","America/New_York"
"ATT","Camp Mabry Austin City",-6,"A","America/Chicago"
"ATW","Appleton",-6,"A","America/Chicago"
"ATY","Watertown Regional Airport",-6,"A","America/Chicago"
"AUG","Augusta State",-5,"A","America/New_York"
"AUK","Alakanuk Airport",-9,"A","America/Anchorage"
"AUO","Auburn University Regional",-6,"A","America/Chicago"
"AUS","Austin Bergstrom Intl",-6,"A","America/Chicago"
"AUW","Wausau Downtown Airport",-6,"U","America/Chicago"
"AVL","Asheville Regional Airport",-5,"A","America/New_York"
"AVO","Executive",-5,"A","America/New_York"
"AVP","Wilkes Barre Scranton Intl",-5,"A","America/New_York"
"AVW","Marana Regional",-7,"U","America/Phoenix"
"AVX","Avalon",-8,"A","America/Los_Angeles"
"AZA","Phoenix-Mesa Gateway",-7,"N","America/Phoenix"
"AZO","Kalamazoo",-5,"A","America/New_York"
"BAB","Beale Afb",-8,"A","America/Los_Angeles"
"BAD","Barksdale Afb",-6,"A","America/Chicago"
"BAF","Barnes Municipal",-5,"A","America/New_York"
"BBX","Wings Field",-5,"A","America/New_York"
"BCE","Bryce Canyon",-7,"A","America/Denver"
"BCT","Boca Raton",-5,"A","America/New_York"
"BDE","Baudette Intl",-6,"A","America/Chicago"
"BDL","Bradley Intl",-5,"A","America/New_York"
"BDR","Igor I Sikorsky Mem",-5,"A","America/New_York"
"BEC","Beech Factory Airport",-6,"A","America/Chicago"
"BED","Laurence G Hanscom Fld",-5,"A","America/New_York"
"BEH","Southwest Michigan Regional Airport",-5,"A","America/New_York"
"BET","Bethel",-9,"A","America/Anchorage"
"BFD","Bradford Regional Airport",-5,"A","America/New_York"
"BFF","Western Nebraska Regional Airport",-7,"A","America/Denver"
"BFI","Boeing Fld King Co Intl",-8,"A","America/Los_Angeles"
"BFL","Meadows Fld",-8,"A","America/Los_Angeles"
"BFM","Mobile Downtown",-6,"A","America/Chicago"
"BFP","Beaver Falls",-5,"A","America/New_York"
"BFT","Beaufort",-5,"A","America/New_York"
"BGE","Decatur County Industrial Air Park",-5,"A","America/New_York"
"BGM","Greater Binghamton Edwin A Link Fld",-5,"A","America/New_York"
"BGR","Bangor Intl",-5,"A","America/New_York"
"BHB","Hancock County - Bar Harbor",-5,"A","America/New_York"
"BHM","Birmingham Intl",-6,"A","America/Chicago"
"BID","Block Island State Airport",-5,"A","America/New_York"
"BIF","Biggs Aaf",-7,"A","America/Denver"
"BIG","Allen Aaf",-9,"A","America/Anchorage"
"BIL","Billings Logan International Airport",-7,"A","America/Denver"
"BIS","Bismarck Municipal Airport",-6,"A","America/Chicago"
"BIV","Tulip City Airport",-5,"A","America/New_York"
"BIX","Keesler Afb",-6,"A","America/Chicago"
"BJC","Rocky Mountain Metropolitan Airport",-7,"A","America/Denver"
"BJI","Bemidji Regional Airport",-6,"A","America/Chicago"
"BKC","Buckland Airport",-9,"A","America/Anchorage"
"BKD","Stephens Co",-6,"A","America/Chicago"
"BKF","Buckley Afb",-7,"A","America/Denver"
"BKG","Branson LLC",-6,"A","America/Chicago"
"BKH","Barking Sands Pmrf",-10,"A","Pacific/Honolulu"
"BKL","Burke Lakefront Airport",-5,"A","America/New_York"
"BKW","Raleigh County Memorial Airport",-5,"A","America/New_York"
"BKX","Brookings Regional Airport",-6,"A","America/Chicago"
"BLD","Boulder City Municipal Airport",-7,"U","America/Phoenix"
"BLF","Mercer County Airport",-5,"A","America/New_York"
"BLH","Blythe Airport",-8,"A","America/Los_Angeles"
"BLI","Bellingham Intl",-8,"A","America/Los_Angeles"
"BLV","Scott Afb Midamerica",-6,"A","America/Chicago"
"BMC","Brigham City",-7,"A","America/Denver"
"BMG","Monroe County Airport",-5,"A","America/New_York"
"BMI","Central Illinois Rgnl",-6,"A","America/Chicago"
"BMT","Beaumont Municipal",-6,"A","America/Chicago"
"BMX","Big Mountain Afs",-9,"A","America/Anchorage"
"BNA","Nashville Intl",-6,"A","America/Chicago"
"BOI","Boise Air Terminal",-7,"A","America/Denver"
"BOS","General Edward Lawrence Logan Intl",-5,"A","America/New_York"
"BOW","Bartow Municipal Airport",-5,"U","America/New_York"
"BPT","Southeast Texas Rgnl",-6,"A","America/Chicago"
"BQK","Brunswick Golden Isles Airport",-5,"A","America/New_York"
"BRD","Brainerd Lakes Rgnl",-6,"U","America/Chicago"
"BRL","Southeast Iowa Regional Airport",-6,"A","America/Chicago"
"BRO","Brownsville South Padre Island Intl",-6,"A","America/Chicago"
"BRW","Wiley Post Will Rogers Mem",-9,"A","America/Anchorage"
"BSF","Bradshaw Aaf",-10,"A","Pacific/Honolulu"
"BTI","Barter Island Lrrs",-9,"A","America/Anchorage"
"BTM","Bert Mooney Airport",-7,"A","America/Denver"
"BTR","Baton Rouge Metro Ryan Fld",-6,"A","America/Chicago"
"BTT","Bettles",-9,"A","America/Anchorage"
"BTV","Burlington Intl",-5,"A","America/New_York"
"BUF","Buffalo Niagara Intl",-5,"A","America/New_York"
"BUR","Bob Hope",-8,"A","America/Los_Angeles"
"BUU","Municipal Airport",-6,"A","America/Chicago"
"BUY","Burlington-Alamance Regional Airport",-5,"A","America/New_York"
"BVY","Beverly Municipal Airport",-5,"A","America/New_York"
"BWD","KBWD",-6,"A","America/Chicago"
"BWG","Bowling Green-Warren County Regional Airport",-6,"A","America/Chicago"
"BWI","Baltimore Washington Intl",-5,"A","America/New_York"
"BXK","Buckeye Municipal Airport",-7,"U","America/Phoenix"
"BXS","Borrego Valley Airport",-8,"A","America/Los_Angeles"
"BYH","Arkansas Intl",-6,"A","America/Chicago"
"BYS","Bicycle Lake Aaf",-8,"A","America/Los_Angeles"
"BYW","Blakely Island Airport",-8,"A","America/Los_Angeles"
"BZN","Gallatin Field",-7,"A","America/Denver"
"C02","Grand Geneva Resort Airport",-6,"U","America/Chicago"
"C16","Frasca Field",-6,"A","America/Chicago"
"C47","Portage Municipal Airport",-6,"U","America/Chicago"
"C65","Plymouth Municipal Airport",-5,"A","America/New_York"
"C89","Sylvania Airport",-6,"A","America/Chicago"
"C91","Dowagiac Municipal Airport",-5,"U","America/New_York"
"CAE","Columbia Metropolitan",-5,"A","America/New_York"
"CAK","Akron Canton Regional Airport",-5,"A","America/New_York"
"CAR","Caribou Muni",-5,"A","America/New_York"
"CBE","Greater Cumberland Rgnl.",-5,"A","America/New_York"
"CBM","Columbus Afb",-6,"A","America/Chicago"
"CCO","Coweta County Airport",-5,"A","America/New_York"
"CCR","Buchanan Field Airport",-8,"A","America/Los_Angeles"
"CDB","Cold Bay",-9,"A","America/Anchorage"
"CDC","Cedar City Rgnl",-7,"A","America/Denver"
"CDI","Cambridge Municipal Airport",-5,"U","America/New_York"
"CDK","CedarKey",-5,"A","America/New_York"
"CDN","Woodward Field",-5,"A","America/New_York"
"CDR","Chadron Municipal Airport",-7,"A","America/Denver"
"CDS","Childress Muni",-6,"A","America/Chicago"
"CDV","Merle K Mudhole Smith",-9,"A","America/Anchorage"
"CDW","Caldwell Essex County Airport",-5,"A","America/New_York"
"CEC","Del Norte County Airport",-8,"A","America/Los_Angeles"
"CEF","Westover Arb Metropolitan",-5,"A","America/New_York"
"CEM","Central Airport",-9,"A","America/Anchorage"
"CEU","Clemson",-5,"A","America/New_York"
"CEW","Bob Sikes",-6,"A","America/Chicago"
"CEZ","Cortez Muni",-7,"A","America/Denver"
"CFD","Coulter Fld",-6,"A","America/Chicago"
"CGA","Craig Seaplane Base",-9,"A","America/Anchorage"
"CGC","Crystal River",-5,"A","America/New_York"
"CGF","Cuyahoga County",-5,"A","America/New_York"
"CGI","Cape Girardeau Regional Airport",-6,"A","America/Chicago"
"CGX","Meigs Field",-6,"A","America/Chicago"
"CGZ","Casa Grande Municipal Airport",-7,"U","America/Phoenix"
"CHA","Lovell Fld",-5,"A","America/New_York"
"CHI","All Airports",-6,"A","America/Chicago"
"CHO","Charlottesville-Albemarle",-5,"A","America/New_York"
"CHS","Charleston Afb Intl",-5,"A","America/New_York"
"CHU","Chuathbaluk Airport",-9,"A","America/Anchorage"
"CIC","Chico Muni",-8,"A","America/Los_Angeles"
"CID","Cedar Rapids",-6,"A","America/Chicago"
"CIK","Chalkyitsik Airport",-9,"A","America/Anchorage"
"CIL","Council Airport",-9,"A","America/Anchorage"
"CIU","Chippewa County International Airport",-5,"A","America/New_York"
"CKB","Harrison Marion Regional Airport",-5,"A","America/New_York"
"CKD","Crooked Creek Airport",-9,"A","America/Anchorage"
"CKF","Crisp County Cordele Airport",-5,"A","America/New_York"
"CKV","Clarksville-Montgomery County Regional Airport",-6,"A","America/Chicago"
"CLC","Clear Lake Metroport",-6,"A","America/Chicago"
"CLD","McClellan-Palomar Airport",-8,"A","America/Los_Angeles"
"CLE","Cleveland Hopkins Intl",-5,"A","America/New_York"
"CLL","Easterwood Fld",-6,"A","America/Chicago"
"CLM","William R Fairchild International Airport",-8,"A","America/Los_Angeles"
"CLS","Chehalis-Centralia",-8,"A","America/Los_Angeles"
